id,ulasan,tanggal
123,iklan sangat menggangu sekali.. untuk spklu aoen mall tanjung barat..banyak keluhan..selalu gagal dalam pengisian...bikin kecewa..kalau bisa di perbaiki itu,2025-09-26
124,Min saya di datangin motoris pln dia memberi tahukan klo beban daya saya meningkat sedangkan kWh 450 intinya melebihi... Knapa dia yg nangih dan minta DP dulu... Bukan kah tagihan bulanan sesuai pemakaian.. knapa harus diminta.. knapa gak di bebankan ke tagihan... ya walaupun ada kenaikan saya tau tapi saya gak kasih.. klo bisa di kurangin pemakaian nya lahhh kan tinggal di bayar sesuai faktur billing tagihan dan pemakaian... apa gak boleh melebihi batas kWh...,2025-09-26
125,aplikasi buruk dibuat untuk mempersulit saja.,2025-09-26
126,aplikasi sangat mudah dan membantu sekali ktika ada masalah atau gangguan listrik di rumah dgn apl ini smua makin mudah dan cepat pelayann dari pln,2025-09-26
127,mantap pelayanan cepat petugas ramah,2025-09-26
128,PLN rayon nganjuk sangat memudahkan semua pelg pln,2025-09-26
129,Pln makin mudah dan makin jaya,2025-09-26
130,apliksi ini memang luar biasa dan mantep bagi seluruh masyarakat termasuk sya terima ksih PLN Mobile memng lur biasa dan debes matp,2025-09-26
131,Terima kasih PLN mobil pelayanan nya ramah dan cepat...,2025-09-26
132,Sangat membatu Sekali... ..... 👍,2025-09-26
133,pelayanan bagus tmksih pln,2025-09-26
134,pelayanannya sangat cepat,2025-09-26
135,Tambah daya lebih mudah lewat PLN mobile,2025-09-26
136,mudah digunakan dan cepat,2025-09-26
137,apk ini sangat membantu,2025-09-26
138,sangat mudah mengunakan aplikasi pln mobile...,2025-09-26
139,aplikasi sangat membantu,2025-09-26
140,terimakasih sangat membantu,2025-09-26
141,PLN mobilnya Trimakasih sudah hidup lagi lampu kami,2025-09-26
142,pln pakai aplikasi mobil pelayanan cepat dan siipp...,2025-09-26
143,Dengan pln mobile memudahkan pengisian token listik,2025-09-26
144,sekarang makin mudah dengan pln mobile..lapor gangguan lebih cepat dan bisa catat meter mandiri,2025-09-26
145,sip pelayanan baik,2025-09-26
146,sangat mudah proses migrasi,2025-09-26
147,petugas sangat ramah,2025-09-26
148,aplikasi sangat membantu dalam pelayanan pelanggan PLN. mantapp,2025-09-26
149,pln mobile paling pas buat kami pelanggan karena sering ada gangguan listrik kami tinggal melapor melalui pln mobile,2025-09-26
150,migrasi di pln mobil praktis,2025-09-26
151,terimaksih pln atas respon dan penanganannya cepat dan sangat membantu,2025-09-26
152,Aplikasi pln mobile bagus sekali sangat membantu pengajuan tambah daya online,2025-09-26
153,aplikasi nya sangat baik dan mudah,2025-09-26
154,PLN mobile ok,2025-09-26
155,cepat dan mudah pembelian token via PLN mobile dan admin murah setiap transaksi di PLN mobile terima kasih pln,2025-09-26
156,sangat membantu untuk mengetahui pemakaian dan tagihan listrik tiap bulannya,2025-09-26
157,bagus bgt aplikasinya bisa tambah data lewat sinih,2025-09-26
158,aplikasi bagus dan pelayanan cepat.,2025-09-26
159,Aplikasi PLN mobile sangat membantu. Terimakasih.,2025-09-26
160,aplikasi PLN mobile sangat membantu pelanggan dalam pelayanan pasang baru dan tambah daya listrik,2025-09-26
161,pln sangat membantu sekali,2025-09-26
162,memudahkan konsumen sangat membantu,2025-09-26
163,pln mobile terbaikk🥰😍🤩,2025-09-26
164,PLN mobile terbaikk,2025-09-26
165,cepat dan tepat,2025-09-26
166,semoga menjadi lebih baik lagi,2025-09-26
167,aplikasi sangat membantu dalam melakukan proses pengaduan masalah listrik dirumah kami,2025-09-26
168,pln Mobile sangat mudah di gunakan dan sangat membantu,2025-09-26
169,mantapaplikasi pln mobile terbaik,2025-09-26
170,aplikasinya bagus dan membantu,2025-09-26
171,aplikasi nya sangat berguna.. terimakasih PLN... semoga makin mantap.,2025-09-26
172,pelayanan pln puas,2025-09-26
173,Aplikasi ok Pelayanannya cepat dan mudah cek masalah cepat'.,2025-09-26
174,permohonan pengaduan listrik semakin mudah👍👍,2025-09-26
175,pln mobil memang siiip oke,2025-09-26
176,pln mobile joss,2025-09-26
177,cepat di respon: kendala udh terselesaikan.terima kasih,2025-09-26
178,petugas lapangan bekerja dengan baik dan membantu mengatasi keluhan warga dengan sangat baik,2025-09-26
179,kami sangat puas dgn aplikasi ini terimakasih,2025-09-26
180,Terima kasih banyak atas bantuannya petugas PLN nya luar biasa,2025-09-26
181,layanan makin cepat,2025-09-26
182,pelayanan sangat cepat dan tanggap,2025-09-26
183,pln mobile sangat membantu dan mudah digunakan.,2025-09-26
184,terimakasih pln mobile sangat membantu sekali jadi lebih mudah dalam melakukan transaksi secara online mantap,2025-09-26
185,alkhamdulillah akhir nya selama 2th menunggu lama.....akhirnya terpasang juga.....,2025-09-26
186,PLN mobile emang tepat tdk slh pilih,2025-09-26
187,awalnya saya tidak percaya dengan aplikasi ini setelah saya coba pln mobile sangat membantu,2025-09-26
188,Hebat sekali bagus sekali respon cepat,2025-09-26
189,terima kasih PLN,2025-09-26
190,apk PLN mobile sangat membantu ..semua jadi mudah..keren👍,2025-09-26
191,pelayanan cepat dan bagus,2025-09-26
192,pln mobile sangat membantu.pengisian token,2025-09-26
193,sangat membantu dalam bekerja,2025-09-26
194,pelayanan cepat dan tepat,2025-09-26
195,lapor gangguan makin cepat teratasi. terima kasih,2025-09-26
196,awal nya kecewa tp PLN lngsung lakukan evaluasi sejauh ini saya respect sekali sama pelayanan PLN khusunya di aplikasi PLN Mobile terima kasih 🙏,2025-09-26
197,Terima kasih PLN MObile. Dengan adanya apk ini. bisa lbih mempermudah kita untuk melakukan plaporan terkait gangguan pada listrik jaringan PLN. Khususnya pada kWh meter rumah. Semoga aplikasi ini makin lbih bermanfaat lagi bagi orang banyak.,2025-09-26
198,saya butuh aplikasi pln,2025-09-26
199,kerjaan cepat progres bagus cabang Tangerang sangat baik dari segi pelayanan dan pekerjaan,2025-09-26
200,trimah kasih pak pln,2025-09-26
201,layanan cepat dan petugas di lapangan ramah 2,2025-09-26
202,memudahkan saya untuk membeli token,2025-09-26
203,mudah dan cepat dalam memproses laporan pelanggan,2025-09-26
204,pelayanan cepat dan tidak menerima tips,2025-09-26
205,Terima kasih PLN Mobile 🎭,2025-09-26
206,lebih di tingkatkan lagi agar lebih ok,2025-09-26
207,PLN MOBILE SANGAT MENBANTU SEMANGAT PLN,2025-09-26
208,Dengan adanya aplikasi pln mobile segala keluhan tentang kelistrikan bisa teratasi PLN mobile luar biasa,2025-09-26
209,aplikasinya sangat membantu,2025-09-26
210,makin gampang dan penanganannya cepat,2025-09-26
211,kok ada tulisan..saldo pln mobile anda terblokir..ada apa ya,2025-09-26
212,penanya Sagan bagus mudah dan aman ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️,2025-09-26
213,aplikasi sangat bagus dan recomended dan no ribet ribet jika terjadi kendala atau masalah listrik. Mempermudah semuanya dan petugas yang sangat cepat dalam mengatasi,2025-09-26
214,Aplikasi mudah dipakai,2025-09-26
215,pelayanan bagus dan sigap,2025-09-26
216,ini aplikasi ini sangat membantu sekali untuk PLN MOBILE untuk kedepannya lebih di tingkatkan lagi,2025-09-26
217,apk ini sangat membatu,2025-09-26
218,aplikasi mudah di gunakan banyak fitur - fitur menarik,2025-09-26
219,ketika bayar telat sama aja.. kaya pinjol ini pln,2025-09-26
220,aplikasinya uiux nya bagus dan mempermudah pengguna,2025-09-26
221,petugas sudah dilokasi,2025-09-26
222,pln mobile sangat membantu dalam informasi atau penggunaan listrik,2025-09-26
223,bagus cepat tanggap,2025-09-26
224,dengan adanya aplikasi pln mobile memudahkn penggunanya. pernah tambah daya melalui aplikasi pln mobile jdi g perlu datang ke kantornya.,2025-09-26
225,keren banget pelayanannya cepat petugas ramah,2025-09-26
226,dgn adanya aplikasi ini sangat membantu,2025-09-26
227,Cepat Tanggap dan bagus,2025-09-26
228,Pelayanan yang bagus cepat tanggap,2025-09-26
229,pelayanan baik dan responsif,2025-09-26
230,terima kasih PLN respon baik,2025-09-26
231,PLN hadir menerangi pelosok negeri,2025-09-26
232,aplikasi yang sangat membantu,2025-09-26
233,terima kasih bapak Pln telah melayani kami dengan baik,2025-09-26
234,tidak berfungsi hanya muter²,2025-09-26
235,aplikasi ini membantu gak perlu lagi keluar rumah untuk beli token listrik,2025-09-26
236,bagus sangat membantu,2025-09-26
237,plnmobile terima kasih,2025-09-26
238,sangat memudah untuk pelaporan pengaduan,2025-09-26
239,mudah dan luar biasa,2025-09-26
240,terima kasih pln,2025-09-26
241,sangat bagus pelayana pln mobail saya sudah bisa ngengunakan pln mobail di bantu oleh petugas,2025-09-26
242,mantap pln mobile muda untuk pelanggan,2025-09-26
243,pengaduan padam lebih mudah melalui pln mobile,2025-09-26
244,buruk peta nya di jakarta dk bs cari lokasi pdhl sebelum2nya bisa . aplikasi jelek,2025-09-26
245,Trimaksih sudah dibantu meringangkan beban kepanikan tentang listrik padam dilayani dengan cepat sama teknisi perlengkapan APD yang sesuai,2025-09-26
246,Dengan aplikasi ini bisa memudahkan transaksi pembayaran.,2025-09-26
247,penanganan sangat cepat dan memuaskan,2025-09-26
248,pelayanan PLN cepat & 👍💯,2025-09-26
249,sudah dikerjakan dan selesai diperbaiki..,2025-09-26
250,Terima Kasih Banyakkkkk Petugasnya gercep bangettt... Alhamdulilah teratasi dengan aman..,2025-09-26
251,aplikasi bagus membantu,2025-09-26
252,bagus banget pelayanannya cepat,2025-09-26
253,Urusan Kelistrikan semua ada dalam satu genggaman kita. Aplikasi yg sangat praktis dan mudah dioperasikan. PLN Mobile Terbaik...,2025-09-26
254,sangat membantu dan banyak manfaatnya.,2025-09-26
255,Masih di pelajari,2025-09-26
256,Tidak dapat mengetahui pemakaian listrik sementara atau sebelum akhir bulan. Walaupun kami pelanggan premium. Kami sering telat mendapat laporan tagihan bulanan PLN.,2025-09-26
257,Pelayanan Sangat Memuaskan,2025-09-26
258,pelayanan cepat ramah,2025-09-26
259,aplikasi mudah dan biaya admin murah. semoga banyak voucher semakin membantu kaum kos kaya saya😬,2025-09-26
260,terima kasih pln gercep banget,2025-09-26
261,aplikasinya mudah digunakan,2025-09-26
262,aplikasi sdh bagus cuma agak lama untuk proses pengajuan pasang baru,2025-09-26
263,aplikasi ngga ada gunanya. customer service pada gaji buta di tanya pada kaya robot jawabannya mempersulit dan berbelit. uang negara di pake foya foya doang. teknisinya mata duitan semua orang yg kerja di PLN kelakuannya pada kaya binatang,2025-09-26
264,terima kasih banyak. sudah nyala kembali. masnya baik petugasnya gerak cepat. terima kasih banyak.,2025-09-26
265,PLN makin oke,2025-09-26
266,aplikasi bermanfaat sekali,2025-09-26
267,Aplikasi sedapat mungkit diperbaharui sesuai tuntutan pelayanan,2025-09-26
268,Pln mobile mantap,2025-09-26
269,pakai aplikasi pln mobile tambah ruwet perhatiannya ribet! sudah minta foto ktp foto KK di tambah foto selfo ama ktp bagi orang awam kan ruwet dan ribet tapi kalau daftar manual + orang dalam cukup ktp + KK tanpa selfie kok bisa! kan aneh tapi nyata,2025-09-26
270,super cepat dan sangat efektif,2025-09-26
271,dengan aplikasi PLN mobile semua urusan listrik lebih mudah,2025-09-26
272,pln mobile terbaik,2025-09-27
273,terimakasih petugas pln bojonggede,2025-09-27
274,sangat membantu melayani pelanggan baik yang pra bayar maupun pasca bayar dan juga pengisian listrik untuk kendaraan listrik serta bisa juga untuk transaksi di marketplace,2025-09-27
275,semakin mudah untuk lapor gangguan terima kasih plng mobile,2025-09-27
276,aplikasi terbaik PLN,2025-09-27
277,terimakasih ptugas pln,2025-09-27
278,aplikasi yang memudahkan oelanggan,2025-09-27
279,aplikasi pln mobile terbaik semua makin muda ( mantap,2025-09-27
280,dengan PLN mobile semua masalah kelistrikan sangat mudah teratasi,2025-09-27
281,aplikasi nya sangat baik dan mudah,2025-09-27
282,sangat puas dengan pelayanan PLN,2025-09-27
283,pelayanan sangat baik dan aplikasi sangat mudah,2025-09-27
284,hanya di rumah semua masalah kelistrikan di atasi dengan baik,2025-09-27
285,dengan aplikasi pln mobil semau jadi mudah,2025-09-27
286,aplikasi sangat membantu,2025-09-27
287,aplikasi cukup mudah...hanya untuk transaksi by pln mobile akhir2 ini sering lemoet...dan knapa untuk swacem di batasi ...mohon di pertahakan seperti dulu kala.....klw bisa loss,2025-09-27
288,aplikasi cukup membantu masyarakat bisa beli token dan cek pembayaran di pln mobile mantap mantap,2025-09-27
289,aplikasi pln mobile sangat membantu sekali untuk menyelesaikan permasalahan kelistrikan saya setiap bulannya dengan mudah,2025-09-27
290,ga ada voucher tetep semangat bayar,2025-09-27
291,pelayanan cepat dan mantap,2025-09-27
292,oke bangetttt memudahkan transaksi secara online,2025-09-27
293,aplikasi PLN mobile sangat membantu dan mempermudah pelanggan dalam urusan listrik bisa beli Token langsung lewat HP prosesnya cepat .,2025-09-27
294,aplikasi ini sunghuh membantu kami dalam hal pelporan gangguan listtik di rumah kami. terimakasih,2025-09-27
295,mantap aplikasinya sangat berguna ketika ada gangguan listrik di rumah..,2025-09-27
296,pelayanan cepat trimakasih pln,2025-09-27
297,pelayanan cepat petugas sangat ramah,2025-09-27
298,membantu sekali utk cek tagihan.. 👍👍,2025-09-27
299,cepat dan bagus,2025-09-27
300,Respon Pelayanannya Cepat dan memuaskan,2025-09-27
301,pln mobile memberikan kemudahan pembayaran listrik,2025-09-27
302,cukup bagus pelayanan pemasanganbaru,2025-09-27
303,aplikasi nya sangat baik dan sangat untuk permohonan,2025-09-27
304,aplikasinya memberi kemudahan bagi plg unt melapor gangguan listrik pln,2025-09-27
305,aplikasi sangat membantu kami bembeli pulsa pln secara cepat dan mudah,2025-09-27
306,apk nya sangat membantu dalam transaksi,2025-09-27
307,urusan kelistrikan ksmi semakin mudah di atssi,2025-09-27
308,pln mobile pasang baru cepat rapih sopan yg kerja nya👍👍👍,2025-09-27
309,sangat membantu pln mobil,2025-09-27
310,Mantaap Tingkatkan Terus Pelayanan Yang memuaskan Kepada Konsumen Pelang,2025-09-27
311,apk ini sangat membantu trimaksih PLN,2025-09-27
312,apknya bisa untuk dipakai jualan gk ya?,2025-09-27
313,pln mobile gercep,2025-09-27
314,aplikasi PLN mobile sangat membantu pelanggan lapor gangguan kelistrikan bisa dari rumah saja,2025-09-27
315,pln nya gercep,2025-09-27
316,masih terlalu mahal,2025-09-27
317,aplikasi yang sangat membantu,2025-09-27
318,aplikasi yg sangat membantu dan mempermudah,2025-09-27
319,terimakasih PLN dengan kecepatannya,2025-09-27
320,Aplikasi yang sangat bagus buat laporan.. aplikasi pln mobil benar2 serba bisa buat apa saja tentang masalah listrik,2025-09-27
321,sangat membantu sekali,2025-09-27
322,dengan apkikasi ini memudahkan kami untuk beli,2025-09-27
323,tombol swacam idealnya ada di layar utama bukan di sub catat meter,2025-09-27
324,lebih muda lebih baik,2025-09-27
325,aplikasi ini sangat membantu ketika ada Maslah ato gangguan listrik di rumah dan langsung respon dari pln,2025-09-27
326,aslii ini recommended bangettt,2025-09-27
327,sangat membantu dalam pemasangan baru sangat cpat,2025-09-27
328,sangat membantu aplikasinya,2025-09-27
329,terima kasih pln,2025-09-27
330,aplikasi yg bermanfaat untuk masyarakat,2025-09-27
331,Aplikasi PLN mobile dapat membantu mempermudah transaksi pembayaran tagihan listrik,2025-09-27
332,aplikasi keren sangat membantu,2025-09-27
333,terimakasih PLN mobile atas bantuannya membantu permasalahan listrik kami,2025-09-27
334,sangat puas dan sangat membantu kami,2025-09-27
335,mantab sekali fitur2nya,2025-09-27
336,pelayanannya sangat bagus,2025-09-27
337,Trimakasih PLN mobile,2025-09-27
338,saya aktif melaporkan pemakai an melalui catat meter melalui aplikasi ini tetapi oleh petugas pencatat meter dicatat lagi / dilaporkan. Apa gunanya saya melaporkan melalui PLN mobile ????,2025-09-27
339,gampang di akses,2025-09-27
340,terima kasih pln,2025-09-27
341,mudah dan efektif,2025-09-27
342,semua dengan satu gengaman semakin mudah menggunakan nya bisa transaksi pembayaran tagihan listrik bisa juga lappor gangguan listrik padam,2025-09-27
343,aplikasi apaan ini td sy cek pemadaman listrik di kawasan sy btln di rumah padam belum ada respon dr PLN mobile yg nmnya aduan atau pengecekan cepat ada respon dr PLN mobile ini GK ada 👎😈,2025-09-27
344,praktis..ndk perlu ribet,2025-09-27
345,respon yang cepat dan sangat membantu ketika mengalami kendala pada meteran listrik. terima kasih.,2025-09-27
346,cepat dan gesit,2025-09-27
347,PLN mobile sangat bagus memudahkan pembelian token listrik dan pelayanan gangguan lebih cepat serta pembayaran listrik paska bayar.,2025-09-27
348,sangat baik dan cepat,2025-09-27
349,PLN mobile mantap,2025-09-27
350,PLN memang bagus,2025-09-27
351,lebih baik akurat pln mobile,2025-09-27
352,bagus dah Cepat,2025-09-27
353,mantap & cepat tanggap,2025-09-27
354,Beli token mudah dan cepat,2025-09-27
355,playanan dari PLN sangat baik mudah dan cepat,2025-09-27
356,aplikasi ini sangat membantu kami,2025-09-27
357,apk sangat membntu kami pelnggan,2025-09-27
358,aplikasi ini bagus banget,2025-09-27
359,app sangat membantu bagus,2025-09-27
360,prosedur mudah dan cepat untuk mendapat pelayanan ubah data. sukses selalu PLN,2025-09-27
361,dengan aplikasi PLN mobile pelayanan PLN semakin baik saja mantap,2025-09-27
362,aplikasi sangat membantu,2025-09-27
363,bagus dan sangat membantu,2025-09-27
364,Pln semakin mudah,2025-09-27
365,pln ambulu mantap polllll,2025-09-27
366,terimakasih PLN Mobile...,2025-09-27
367,sangat membantu dalam pengaduan dan lebih cepat pelayanannya,2025-09-27
368,proses sangat membantu,2025-09-27
369,membantu pelayanan jos,2025-09-27
370,aman dan terpercaya,2025-09-27
371,sudah laporan dr pagi tidak ada tindak lanjut malah pengaduan bilang di batalkan oleh pelanggan padahl saya sebagai pelanggan tidak membatalknanya klw bisa di buat bintang minus saya kasih bintang minus,2025-09-27
372,pelayanan PLN manteb,2025-09-27
373,aplikasi yg berguna,2025-09-27
374,LAPORAN GANGGUAN MENJADI LEBIH MUDAH,2025-09-27
375,sangat mmbantu dan pelayanan yang cepat,2025-09-27
376,aplikasi PLN mobile sangat membantu dalam kebutuhan sehari..,2025-09-27
377,menuntut ilmu di Madrasah DINIYAH Darush Shodaqoh Degan 2 Rt. 82 Rw.41 Banjararum Kalibawang Kulon Progo Daerah Istimewa Yogyakarta,2025-09-27
378,Trimakasih atas pelayanan pln,2025-09-27
379,semoga berguna bagi nusa dan bangsa selalu mentingkan rakyat,2025-09-27
380,Semua semakin mudah dengan PLN mobile... Terimakasih PLN is the best 👍🏻 pelayanan prima,2025-09-27
381,sangat membantu sekali ...cepat tanggap,2025-09-27
382,sangat membantu laporan,2025-09-27
383,sudah nyala pelayanan bagus,2025-09-27
384,bagus aplikasi nya mudah di gunakan,2025-09-27
385,apk pln mobile mantap bisa mengatasi pelanggan dengan baik masalah listrik.,2025-09-27
386,apk pln mobile sangat penting untuk cek pembayaran listrik,2025-09-27
387,mantap pelayanan petugas yg sangat baik dn ramah🙏🙏🙏🙏,2025-09-27
388,Terima kasih PLN,2025-09-27
389,penangan cepat terima kasih pln,2025-09-27
390,pengertian tugas plnnya super cepat dan sangat ramah.,2025-09-27
391,aplikasi banyak iklan . mempersulit pengorasian,2025-09-27
392,semoga banyak bonusnya,2025-09-27
